GraphQL mutation/query,postman request name,test details,expected result
user (query),badUserQuery,query a non-existant user id (bad-id),returns null
user (query),goodUserQuery,put valid user id (88c150cc-1235-4523-9224-65caafa935eb),returns user information
login (query),badEmailLoginQuery,put invalid login email (badEmail),returns null
login (query),badPasswordLoginQuery,put valid login email(good.email@localhost.net) and invalid login password (badEmail),returns null
login (query),failedLoginLoginQuery,put valid login email (fakeUser.email@localhost.net) and incorrect but valid password (P@ssw0rd123),returns null
login (query),gooddLoginLoginQuery,put valid login email (fakeUser.email@localhost.net) and password (helloW0rldm&),returns null
createUser (mutation),invalidCreateUser,put non id (bad-id) for site admin,returns null
createUser (mutation),badAdminCreateUser,put non admin id(88c150cc-1235-4523-9224-65caafa935eb) for site admin,returns null
createUser (mutation),badEmailCreateUser,put admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) for site admin and bad email (notAnEmail),returns new user id
createUser (mutation),badPassCreateUser,put admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) for site admin and bad password (password),returns new user id
createUser (mutation),goodCreateUser,put admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) for site admin iwth good emial/password (fake.email@localhost.net/P@ssw0rd!),returns new user id
deactivateUser (mutation),badAdminDeactivateUser,put bad admin id (88c150cc-1235-4523-9224-65caafa935eb),returns false
deactivateUser (mutation),invalidAdminDeactivateUser,put invalid admin id (bad-id),returns false
deactivateUser (mutation),invalidUserDeactivateUser,put valid site admin (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and invalid user (bad id),returns false
deactivateUser (mutation),goodDeactivateUser,put valid site admin (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and user (88c150cc-1235-4523-9224-65caafa935eb) id,returns true
updateUser (mutation),invalidUpdateUser,give non id (bad-id),returns null
updateUser (mutation),badUpdateUser,give deactivated id(),returns false
updateUser (mutation),goodUpdateUser,give valid user id (88c150cc-1235-4523-9224-65caafa935eb),returns true
reactivateUser (mutation),invalidAdminReactivateUser,give invalid site admin id (bad-id),returns false
reactivateUser (mutation),badAdminReactivateUser,give non site admin id (bad-id) for site admin,returns false
reactivateUser (mutation),invalidUserReactivateUser,give good site admin (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and invalid user id (bad-id),returns false
reactivateUser (mutation),goodReactivateUser,give good site admin (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and deactivated user id (88c150cc-1235-4523-9224-65caafa935eb),returns true
partnerOrg (query),invalidPartnerOrg,query non-existant partner org (bad-id), returns null
partnerOrg (query),goodPartnerOrg,query existant partner org (3ab3107d-09bc-44cd-b73b-0dfd17bd7576), returns organization info
createPartnerOrg (mutation),badAdminCreatePartnerOrg,create a partner org with an invalid site admin id (88c150cc-1235-4523-9224-65caafa935eb), returns null
createPartnerOrg (mutation),invalidAdminCreatePartnerOrg,create a partner org with an invalid site admin id (bad-id), returns null
createPartnerOrg (mutation),invalidUserCreatePartnerOrg,create a partner org with an valid site admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and invalid admin id (bad id), returns null
